Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
2026-03-02 14:30:00+00:00,,263.80999755859375,,304.4800109863281,651.8300170898438,96.80500030517578,264.3399963378906,,306.1415100097656,654.3200073242188,98.06999969482422,260.20001220703125,,301.05999755859375,634.5,95.25,262.44000244140625,,302.92999267578125,637.1599731445312,95.33000183105469,9648357,,4790967,1598024,17106552
2026-03-02 15:30:00+00:00,,264.3599853515625,,304.45001220703125,650.4500122070312,96.0199966430664,265.0299987792969,,305.7300109863281,655.9000244140625,97.30999755859375,262.0,,303.8500061035156,649.219970703125,95.95999908447266,263.82000732421875,,304.4750061035156,651.89501953125,96.80000305175781,439306,,77857,646349,6210301
2026-03-02 16:30:00+00:00,,266.0,,307.55010986328125,656.1199951171875,97.34300231933594,266.20001220703125,,307.7200012207031,659.9400024414062,97.375,264.0,,304.44000244140625,650.4099731445312,95.9000015258789,264.3599853515625,,304.4700012207031,650.4420776367188,96.01499938964844,2203439,,1052911,665774,4644782
2026-03-02 17:30:00+00:00,,265.5,,306.614990234375,655.719970703125,97.04000091552734,266.2900085449219,,308.1400146484375,657.010009765625,97.61000061035156,265.25,,306.1300048828125,654.4099731445312,96.95210266113281,265.9949951171875,,307.5201110839844,656.1199951171875,97.3550033569336,1644931,,808737,388897,3508882
2026-03-02 18:30:00+00:00,,266.05999755859375,,307.2300109863281,655.3150024414062,97.36499786376953,266.1499938964844,,307.2900085449219,657.3800048828125,97.38999938964844,264.3599853515625,,305.57000732421875,654.0001220703125,96.7300033569336,265.52801513671875,,306.6300048828125,655.7000122070312,97.04000091552734,6993135,,912882,457709,2991798
2026-03-02 19:30:00+00:00,,264.30999755859375,,305.31988525390625,651.1950073242188,97.33000183105469,266.5299987792969,,307.760009765625,656.260009765625,97.87000274658203,264.1400146484375,,305.2099914550781,650.6599731445312,97.21499633789062,266.0450134277344,,307.25,655.3151245117188,97.36129760742188,0,,1227615,481303,4571330
2026-03-02 20:30:00+00:00,,264.6000061035156,,306.1600036621094,653.4600219726562,97.05999755859375,265.54998779296875,,306.8900146484375,655.1199951171875,97.75,263.6099853515625,,304.9100036621094,650.6300048828125,97.04499816894531,264.31500244140625,,305.2699890136719,651.1500244140625,97.33999633789062,3945882,,1647993,854249,5631073
2026-03-03 14:30:00+00:00,,262.260009765625,,297.3500061035156,639.5599975585938,95.48999786376953,265.55999755859375,,301.6300048828125,655.9000244140625,97.7699966430664,261.2200012207031,,296.69940185546875,638.8400268554688,95.33000183105469,263.4800109863281,,298.1919860839844,648.2899780273438,95.93000030517578,8047558,,6059628,3207824,16274057
2026-03-03 15:30:00+00:00,,262.57000732421875,,301.07501220703125,652.3499755859375,97.1050033569336,263.94000244140625,,301.5199890136719,654.2291259765625,97.23999786376953,261.9100036621094,,297.18499755859375,639.2999877929688,95.47000122070312,262.2799987792969,,297.3599853515625,639.510009765625,95.48500061035156,4016845,,2388886,1338621,7809293
2026-03-03 16:30:00+00:00,,261.80999755859375,,301.4750061035156,651.8499755859375,96.73500061035156,263.7799987792969,,302.1759948730469,654.8499755859375,97.19999694824219,261.5799865722656,,300.0400085449219,650.1699829101562,96.21499633789062,262.4800109863281,,301.04998779296875,652.4299926757812,97.0999984741211,2940122,,1439360,744094,4803699
2026-03-03 17:30:00+00:00,,261.4800109863281,,300.875,654.9299926757812,97.2750015258789,261.8699951171875,,301.5,655.2799072265625,97.33509826660156,260.1300048828125,,300.2300109863281,648.110107421875,96.27999877929688,261.79998779296875,,301.45001220703125,652.0,96.73999786376953,2901307,,1323811,881349,4554003
2026-03-03 18:30:00+00:00,,263.6549987792969,,301.2099914550781,654.9500122070312,97.26000213623047,263.9100036621094,,303.0400085449219,659.0399780273438,97.42510223388672,261.3699951171875,,300.7799987792969,654.52001953125,96.8499984741211,261.44000244140625,,300.8299865722656,655.0499877929688,97.27999877929688,2917518,,1491295,951493,4171963
2026-03-03 19:30:00+00:00,,263.2799987792969,,302.7200012207031,655.1099853515625,97.23989868164062,264.614990234375,,303.2300109863281,659.0,97.33000183105469,262.510009765625,,300.67999267578125,653.4700927734375,96.81999969482422,263.6700134277344,,301.2099914550781,655.260009765625,97.25499725341797,2571377,,1523652,818549,5318233
2026-03-03 20:30:00+00:00,,263.7099914550781,,303.3999938964844,654.97998046875,97.70500183105469,263.9599914550781,,303.94000244140625,655.5499877929688,98.45999908447266,262.3399963378906,,301.92999267578125,653.3499755859375,97.1050033569336,263.239990234375,,302.7300109863281,655.0050048828125,97.23500061035156,4136373,,2238604,1000913,7532900
2026-03-04 14:30:00+00:00,,264.1300048828125,,305.1724853515625,671.9199829101562,99.27999877929688,266.1499938964844,,305.28271484375,672.0,99.75,261.4200134277344,,300.79998779296875,657.6710815429688,96.98999786376953,264.6499938964844,,302.7200012207031,657.9600219726562,97.12000274658203,7214854,,4821250,2800573,16066031
2026-03-04 15:30:00+00:00,,264.5299987792969,,304.5,670.6500244140625,98.18499755859375,264.7200012207031,,305.4599914550781,672.75,99.68000030517578,262.81500244140625,,303.0,667.5,97.66000366210938,264.125,,305.2900085449219,671.989990234375,99.2699966430664,3576211,,2113214,1372288,8341294
2026-03-04 16:30:00+00:00,,264.8999938964844,,303.7799987792969,668.1849975585938,98.75499725341797,265.510009765625,,304.94000244140625,671.9598999023438,98.9000015258789,264.29998779296875,,303.6700134277344,667.8900146484375,98.11499786376953,264.5199890136719,,304.4800109863281,670.8499755859375,98.18499755859375,3050842,,1226400,692195,5047543
